track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Fairyhouse Racing Results | 7th June 2024 20:17,N/A,20:17,Good,1m 4f,Gardone (IRE),C D Hayes,0,E McNamara,5th,4 1/2 l,4,8-12,47,True,121,29
Fairyhouse Racing Results | 7th June 2024 20:17,N/A,20:17,Good,1m 4f,Chutzpal (IRE),W J Lee,0,H De Bromhead,4th,1/2 l,5,9-10,59,True,121,29
Fairyhouse Racing Results | 7th June 2024 20:17,N/A,20:17,Good,1m 4f,Mephisto (IRE),C T Keane,0,G Keane,3rd,Neck,7,9-8v,57,True,121,29
Fairyhouse Racing Results | 7th June 2024 20:17,N/A,20:17,Good,1m 4f,Hinemoa (FR),A C Persse,7,M A Cahill,2nd,6 l,8,9-2,51,True,121,29
Fairyhouse Racing Results | 7th June 2024 20:17,N/A,20:17,Good,1m 4f,Numidia (IRE),K J Leonard,0,P Lawlor,1st,N/A,6,9-4v,53,True,121,29
Fairyhouse Racing Results | 7th June 2024 20:17,N/A,20:17,Good,1m 4f,Construct,D W O'Connor,0,J C McConnell,16th,68 l,9,9-5t,54,True,121,29
Fairyhouse Racing Results | 7th June 2024 20:17,N/A,20:17,Good,1m 4f,Dalvey,J M Sheridan,0,N C Kelly,15th,2 3/4 l,7,10-2tp,65,True,121,29
Fairyhouse Racing Results | 7th June 2024 20:17,N/A,20:17,Good,1m 4f,Wild Shot,J A Heffernan,0,N C Kelly,14th,Neck,10,9-9t,58,True,121,29
Fairyhouse Racing Results | 7th June 2024 20:17,N/A,20:17,Good,1m 4f,Lynskey (IRE),L F Roche,0,Joseph Murray,13th,3/4 l,4,8-12,47,True,121,29
Fairyhouse Racing Results | 7th June 2024 20:17,N/A,20:17,Good,1m 4f,Susie Wosie (IRE),Adam Caffrey,5,J G Murray,12th,21 l,4,9-6,55,True,121,29
Fairyhouse Racing Results | 7th June 2024 20:17,N/A,20:17,Good,1m 4f,Mambo De La Luna (IRE),J J G Ryan,5,B Duffy,11th,4 3/4 l,4,9-6tb1,55,True,121,29
Fairyhouse Racing Results | 7th June 2024 20:17,N/A,20:17,Good,1m 4f,Xquise (FR),B M Coen,0,Miss Jennifer Anne Lynch,10th,4 3/4 l,4,9-3,52,True,121,29
Fairyhouse Racing Results | 7th June 2024 20:17,N/A,20:17,Good,1m 4f,Elzaamsan (IRE),R P Whelan,0,M Halford & T Collins,9th,2 1/4 l,6,9-10p,59,True,121,29
Fairyhouse Racing Results | 7th June 2024 20:17,N/A,20:17,Good,1m 4f,He's Justagent (IRE),R C Colgan,0,S Lavery,8th,3 1/2 l,4,9-8,57,True,121,29
Fairyhouse Racing Results | 7th June 2024 20:17,N/A,20:17,Good,1m 4f,Liberty Looming (IRE),R P Cleary,0,J S Bolger,7th,Head,3,8-7p1,55,True,121,29
Fairyhouse Racing Results | 7th June 2024 20:17,N/A,20:17,Good,1m 4f,Maura's Gift (IRE),D McMonagle,0,P W Flynn,6th,1 1/4 l,5,9-3p,52,True,121,29
Fairyhouse Racing Results | 7th June 2024 20:17,N/A,20:17,Good,1m 4f,Gardone (IRE),C D Hayes,0,E McNamara,5th,4 1/2 l,4,8-12,47,True,121,29
Fairyhouse Racing Results | 7th June 2024 20:17,N/A,20:17,Good,1m 4f,Chutzpal (IRE),W J Lee,0,H De Bromhead,4th,1/2 l,5,9-10,59,True,121,29
Fairyhouse Racing Results | 7th June 2024 20:17,N/A,20:17,Good,1m 4f,Mephisto (IRE),C T Keane,0,G Keane,3rd,Neck,7,9-8v,57,True,121,29
Fairyhouse Racing Results | 7th June 2024 20:17,N/A,20:17,Good,1m 4f,Hinemoa (FR),A C Persse,7,M A Cahill,2nd,6 l,8,9-2,51,True,121,29
Fairyhouse Racing Results | 7th June 2024 20:17,N/A,20:17,Good,1m 4f,Numidia (IRE),K J Leonard,0,P Lawlor,1st,N/A,6,9-4v,53,True,121,29
Clonmel Racing Results | 7th June 2024 17:20,N/A,17:20,Good,2m 85y,Sawbuck (IRE),A P Kelly,5,G O'Loughlin,NR,N/A,6,11-12,-,True,121,30
Clonmel Racing Results | 7th June 2024 17:20,N/A,17:20,Good,2m 85y,Zolpharine (IRE),G Brouder,5,J P Ryan,UR,N/A,6,11-12,-,True,121,30
Clonmel Racing Results | 7th June 2024 17:20,N/A,17:20,Good,2m 85y,Master Player (IRE),Shane Fenelon,7,J J Hanlon,F,N/A,7,11-12,-,True,121,30
Clonmel Racing Results | 7th June 2024 17:20,N/A,17:20,Good,2m 85y,The Shantou King (IRE),Cian Cullinan,7,Aengus King,F,N/A,7,11-12p,-,True,121,30
Clonmel Racing Results | 7th June 2024 17:20,N/A,17:20,Good,2m 85y,Action Motion (IRE),R A Doyle,0,D Hogan,7th,23 l,5,11-12p,-,True,121,30
Clonmel Racing Results | 7th June 2024 17:20,N/A,17:20,Good,2m 85y,Tippin And Tappin (IRE),C G O'Dwyer,5,E Bolger,6th,7 l,5,11-12,-,True,121,30
Clonmel Racing Results | 7th June 2024 17:20,N/A,17:20,Good,2m 85y,Red Ball Of Fire (IRE),H Morgan,0,M M McNiff,5th,10 l,7,11-5,-,True,121,30
Clonmel Racing Results | 7th June 2024 17:20,N/A,17:20,Good,2m 85y,Idol (FR),R Deegan,0,S Curling,4th,8 1/2 l,6,11-5,-,True,121,30
Clonmel Racing Results | 7th June 2024 17:20,N/A,17:20,Good,2m 85y,Bua Boy (IRE),P K Donovan,5,D Hogan,3rd,4 3/4 l,9,11-12,-,True,121,30
Clonmel Racing Results | 7th June 2024 17:20,N/A,17:20,Good,2m 85y,Faux Fur (FR),K C Sexton,0,G Elliott,2nd,3 l,5,11-5,-,True,121,30
Clonmel Racing Results | 7th June 2024 17:20,N/A,17:20,Good,2m 85y,Walnut Beach (IRE),S Fitzgerald,0,P J Flynn,1st,N/A,7,11-12,-,True,121,30
Clonmel Racing Results | 7th June 2024 17:20,N/A,17:20,Good,2m 85y,Sawbuck (IRE),A P Kelly,5,G O'Loughlin,NR,N/A,6,11-12,-,True,121,30
Clonmel Racing Results | 7th June 2024 17:20,N/A,17:20,Good,2m 85y,Zolpharine (IRE),G Brouder,5,J P Ryan,UR,N/A,6,11-12,-,True,121,30
Clonmel Racing Results | 7th June 2024 17:20,N/A,17:20,Good,2m 85y,Master Player (IRE),Shane Fenelon,7,J J Hanlon,F,N/A,7,11-12,-,True,121,30
Clonmel Racing Results | 7th June 2024 17:20,N/A,17:20,Good,2m 85y,The Shantou King (IRE),Cian Cullinan,7,Aengus King,F,N/A,7,11-12p,-,True,121,30
Clonmel Racing Results | 7th June 2024 17:20,N/A,17:20,Good,2m 85y,Action Motion (IRE),R A Doyle,0,D Hogan,7th,23 l,5,11-12p,-,True,121,30
Clonmel Racing Results | 7th June 2024 17:20,N/A,17:20,Good,2m 85y,Tippin And Tappin (IRE),C G O'Dwyer,5,E Bolger,6th,7 l,5,11-12,-,True,121,30
Clonmel Racing Results | 7th June 2024 17:20,N/A,17:20,Good,2m 85y,Red Ball Of Fire (IRE),H Morgan,0,M M McNiff,5th,10 l,7,11-5,-,True,121,30
Clonmel Racing Results | 7th June 2024 17:20,N/A,17:20,Good,2m 85y,Idol (FR),R Deegan,0,S Curling,4th,8 1/2 l,6,11-5,-,True,121,30
Clonmel Racing Results | 7th June 2024 17:20,N/A,17:20,Good,2m 85y,Bua Boy (IRE),P K Donovan,5,D Hogan,3rd,4 3/4 l,9,11-12,-,True,121,30
Clonmel Racing Results | 7th June 2024 17:20,N/A,17:20,Good,2m 85y,Faux Fur (FR),K C Sexton,0,G Elliott,2nd,3 l,5,11-5,-,True,121,30
Clonmel Racing Results | 7th June 2024 17:20,N/A,17:20,Good,2m 85y,Walnut Beach (IRE),S Fitzgerald,0,P J Flynn,1st,N/A,7,11-12,-,True,121,30
Clonmel Racing Results | 7th June 2024 17:50,N/A,17:50,Good,2m 85y,Prince Of Air (FR),P J O'Hanlon,0,P J Rothwell,NR,N/A,7,10-9p,90,True,121,31
Clonmel Racing Results | 7th June 2024 17:50,N/A,17:50,Good,2m 85y,McGrath From Clune (IRE),J P Shinnick,4,R Tyner,PU,N/A,8,11-7t,102,True,121,31
Clonmel Racing Results | 7th June 2024 17:50,N/A,17:50,Good,2m 85y,Bite That (IRE),G B Noonan,0,P J Flynn,PU,N/A,8,10-9,90,True,121,31
Clonmel Racing Results | 7th June 2024 17:50,N/A,17:50,Good,2m 85y,Pont Audemer (FR),C Stone-Walsh,2,G P Cromwell,7th,8 1/2 l,5,11-8p1,103,True,121,31
Clonmel Racing Results | 7th June 2024 17:50,N/A,17:50,Good,2m 85y,Ricky Langford (IRE),C G O'Dwyer,2,P J Rothwell,6th,5 1/2 l,10,11-1p,96,True,121,31
Clonmel Racing Results | 7th June 2024 17:50,N/A,17:50,Good,2m 85y,Cracklinrose (IRE),G Brouder,0,J P Ryan,5th,13 l,7,10-1,82,True,121,31
Clonmel Racing Results | 7th June 2024 17:50,N/A,17:50,Good,2m 85y,Golden Sandbanks,B P Kennedy,4,P W Flynn,4th,7 1/2 l,7,12-0tp,109,True,121,31
Clonmel Racing Results | 7th June 2024 17:50,N/A,17:50,Good,2m 85y,Marvel Fan (FR),C P Millar,4,Mrs C O'Leary,3rd,1 1/2 l,8,11-11t,106,True,121,31
Clonmel Racing Results | 7th June 2024 17:50,N/A,17:50,Good,2m 85y,Lake Chad (IRE),Niall Moore,4,P Fenton,2nd,1/2 l,9,11-3,98,True,121,31
Clonmel Racing Results | 7th June 2024 17:50,N/A,17:50,Good,2m 85y,Druim Samhraidh (IRE),R J Condon,2,C W J Farrell,1st,N/A,11,10-6tp1,87,True,121,31
Clonmel Racing Results | 7th June 2024 17:50,N/A,17:50,Good,2m 85y,Prince Of Air (FR),P J O'Hanlon,0,P J Rothwell,NR,N/A,7,10-9p,90,True,121,31
Clonmel Racing Results | 7th June 2024 17:50,N/A,17:50,Good,2m 85y,McGrath From Clune (IRE),J P Shinnick,4,R Tyner,PU,N/A,8,11-7t,102,True,121,31
Clonmel Racing Results | 7th June 2024 17:50,N/A,17:50,Good,2m 85y,Bite That (IRE),G B Noonan,0,P J Flynn,PU,N/A,8,10-9,90,True,121,31
Clonmel Racing Results | 7th June 2024 17:50,N/A,17:50,Good,2m 85y,Pont Audemer (FR),C Stone-Walsh,2,G P Cromwell,7th,8 1/2 l,5,11-8p1,103,True,121,31
Clonmel Racing Results | 7th June 2024 17:50,N/A,17:50,Good,2m 85y,Ricky Langford (IRE),C G O'Dwyer,2,P J Rothwell,6th,5 1/2 l,10,11-1p,96,True,121,31
Clonmel Racing Results | 7th June 2024 17:50,N/A,17:50,Good,2m 85y,Cracklinrose (IRE),G Brouder,0,J P Ryan,5th,13 l,7,10-1,82,True,121,31
Clonmel Racing Results | 7th June 2024 17:50,N/A,17:50,Good,2m 85y,Golden Sandbanks,B P Kennedy,4,P W Flynn,4th,7 1/2 l,7,12-0tp,109,True,121,31
Clonmel Racing Results | 7th June 2024 17:50,N/A,17:50,Good,2m 85y,Marvel Fan (FR),C P Millar,4,Mrs C O'Leary,3rd,1 1/2 l,8,11-11t,106,True,121,31
Clonmel Racing Results | 7th June 2024 17:50,N/A,17:50,Good,2m 85y,Lake Chad (IRE),Niall Moore,4,P Fenton,2nd,1/2 l,9,11-3,98,True,121,31
Clonmel Racing Results | 7th June 2024 17:50,N/A,17:50,Good,2m 85y,Druim Samhraidh (IRE),R J Condon,2,C W J Farrell,1st,N/A,11,10-6tp1,87,True,121,31
Clonmel Racing Results | 7th June 2024 18:20,N/A,18:20,Good,2m 4f,In A Nice Way (IRE),K E Buckley,0,S Ryan,UR,N/A,8,11-5,-,True,121,32
Clonmel Racing Results | 7th June 2024 18:20,N/A,18:20,Good,2m 4f,New Barn Lane (IRE),C G O'Dwyer,5,C O'Dwyer,UR,N/A,7,11-12,-,True,121,32
Clonmel Racing Results | 7th June 2024 18:20,N/A,18:20,Good,2m 4f,Whotookthebiscuit (IRE),R J Condon,5,H De Bromhead,F,N/A,6,11-5t,-,True,121,32
Clonmel Racing Results | 7th June 2024 18:20,N/A,18:20,Good,2m 4f,Grangeclare Native (IRE),C P Millar,7,O McKiernan,10th,13 l,9,11-12tb,-,True,121,32
Clonmel Racing Results | 7th June 2024 18:20,N/A,18:20,Good,2m 4f,Kilbrin Rocco (IRE),E Walsh,0,M Winters,9th,63 l,5,11-12t,-,True,121,32
Clonmel Racing Results | 7th June 2024 18:20,N/A,18:20,Good,2m 4f,Angelofthemorning (IRE),N T Prendergast,7,D Deacon,8th,3/4 l,7,11-5p,-,True,121,32
Clonmel Racing Results | 7th June 2024 18:20,N/A,18:20,Good,2m 4f,Warm In Gorey (IRE),P J O'Hanlon,3,P J Rothwell,7th,10 l,6,11-12t,-,True,121,32
Clonmel Racing Results | 7th June 2024 18:20,N/A,18:20,Good,2m 4f,Hard Target (IRE),J P Shinnick,7,D H Kelly,6th,1 1/4 l,7,11-12t,-,True,121,32
Clonmel Racing Results | 7th June 2024 18:20,N/A,18:20,Good,2m 4f,Farrokh (FR),R A Doyle,0,B Connell,5th,1 1/2 l,5,11-12p,-,True,121,32
Clonmel Racing Results | 7th June 2024 18:20,N/A,18:20,Good,2m 4f,Pebble Bleu (IRE),L Quinlan,3,C Motherway,4th,3/4 l,5,11-5,-,True,121,32
Clonmel Racing Results | 7th June 2024 18:20,N/A,18:20,Good,2m 4f,The Mass Path (IRE),S Fitzgerald,0,C Byrnes,3rd,2 1/4 l,7,11-12,-,True,121,32
Clonmel Racing Results | 7th June 2024 18:20,N/A,18:20,Good,2m 4f,Inforapenny (IRE),A P Kelly,5,M Fahey,2nd,2 1/4 l,8,11-12,-,True,121,32
Clonmel Racing Results | 7th June 2024 18:20,N/A,18:20,Good,2m 4f,Garde La Peche (FR),M P O'Connor,3,H De Bromhead,1st,N/A,6,11-5t,-,True,121,32
Clonmel Racing Results | 7th June 2024 18:20,N/A,18:20,Good,2m 4f,In A Nice Way (IRE),K E Buckley,0,S Ryan,UR,N/A,8,11-5,-,True,121,32
Clonmel Racing Results | 7th June 2024 18:20,N/A,18:20,Good,2m 4f,New Barn Lane (IRE),C G O'Dwyer,5,C O'Dwyer,UR,N/A,7,11-12,-,True,121,32
Clonmel Racing Results | 7th June 2024 18:20,N/A,18:20,Good,2m 4f,Whotookthebiscuit (IRE),R J Condon,5,H De Bromhead,F,N/A,6,11-5t,-,True,121,32
Clonmel Racing Results | 7th June 2024 18:20,N/A,18:20,Good,2m 4f,Grangeclare Native (IRE),C P Millar,7,O McKiernan,10th,13 l,9,11-12tb,-,True,121,32
Clonmel Racing Results | 7th June 2024 18:20,N/A,18:20,Good,2m 4f,Kilbrin Rocco (IRE),E Walsh,0,M Winters,9th,63 l,5,11-12t,-,True,121,32
Clonmel Racing Results | 7th June 2024 18:20,N/A,18:20,Good,2m 4f,Angelofthemorning (IRE),N T Prendergast,7,D Deacon,8th,3/4 l,7,11-5p,-,True,121,32
Clonmel Racing Results | 7th June 2024 18:20,N/A,18:20,Good,2m 4f,Warm In Gorey (IRE),P J O'Hanlon,3,P J Rothwell,7th,10 l,6,11-12t,-,True,121,32
Clonmel Racing Results | 7th June 2024 18:20,N/A,18:20,Good,2m 4f,Hard Target (IRE),J P Shinnick,7,D H Kelly,6th,1 1/4 l,7,11-12t,-,True,121,32
Clonmel Racing Results | 7th June 2024 18:20,N/A,18:20,Good,2m 4f,Farrokh (FR),R A Doyle,0,B Connell,5th,1 1/2 l,5,11-12p,-,True,121,32
Clonmel Racing Results | 7th June 2024 18:20,N/A,18:20,Good,2m 4f,Pebble Bleu (IRE),L Quinlan,3,C Motherway,4th,3/4 l,5,11-5,-,True,121,32
Clonmel Racing Results | 7th June 2024 18:20,N/A,18:20,Good,2m 4f,The Mass Path (IRE),S Fitzgerald,0,C Byrnes,3rd,2 1/4 l,7,11-12,-,True,121,32
Clonmel Racing Results | 7th June 2024 18:20,N/A,18:20,Good,2m 4f,Inforapenny (IRE),A P Kelly,5,M Fahey,2nd,2 1/4 l,8,11-12,-,True,121,32
Clonmel Racing Results | 7th June 2024 18:20,N/A,18:20,Good,2m 4f,Garde La Peche (FR),M P O'Connor,3,H De Bromhead,1st,N/A,6,11-5t,-,True,121,32
Clonmel Racing Results | 7th June 2024 18:50,N/A,18:50,Good (Good To Firm In Places),2m 4f,Ashdale Bob (IRE),C D Smithers,7,Mrs J Harrington,NR,N/A,9,11-0,-,True,121,33
Clonmel Racing Results | 7th June 2024 18:50,N/A,18:50,Good (Good To Firm In Places),2m 4f,Gaelic Arc (IRE),G Brouder,5,J P Ryan,NR,N/A,8,11-0,-,True,121,33
Clonmel Racing Results | 7th June 2024 18:50,N/A,18:50,Good (Good To Firm In Places),2m 4f,Donacheady Gale (IRE),P K Donovan,5,J P Ryan,3rd,47 l,10,11-0,-,True,121,33
Clonmel Racing Results | 7th June 2024 18:50,N/A,18:50,Good (Good To Firm In Places),2m 4f,Moonovercloon (IRE),J Smith,7,M J Smith,2nd,3/4 l,7,11-0,-,True,121,33
Clonmel Racing Results | 7th June 2024 18:50,N/A,18:50,Good (Good To Firm In Places),2m 4f,Tag Man (IRE),M P O'Connor,3,H De Bromhead,1st,N/A,8,11-0t,-,True,121,33
Clonmel Racing Results | 7th June 2024 18:50,N/A,18:50,Good (Good To Firm In Places),2m 4f,Ashdale Bob (IRE),C D Smithers,7,Mrs J Harrington,NR,N/A,9,11-0,-,True,121,33
Clonmel Racing Results | 7th June 2024 18:50,N/A,18:50,Good (Good To Firm In Places),2m 4f,Gaelic Arc (IRE),G Brouder,5,J P Ryan,NR,N/A,8,11-0,-,True,121,33
Clonmel Racing Results | 7th June 2024 18:50,N/A,18:50,Good (Good To Firm In Places),2m 4f,Donacheady Gale (IRE),P K Donovan,5,J P Ryan,3rd,47 l,10,11-0,-,True,121,33
Clonmel Racing Results | 7th June 2024 18:50,N/A,18:50,Good (Good To Firm In Places),2m 4f,Moonovercloon (IRE),J Smith,7,M J Smith,2nd,3/4 l,7,11-0,-,True,121,33
Clonmel Racing Results | 7th June 2024 18:50,N/A,18:50,Good (Good To Firm In Places),2m 4f,Tag Man (IRE),M P O'Connor,3,H De Bromhead,1st,N/A,8,11-0t,-,True,121,33
Clonmel Racing Results | 7th June 2024 19:20,N/A,19:20,Good (Good To Firm In Places) ap Chase (Turf),2m 4f,Blenheim Belle (IRE),Mr Alan O'Sullivan,7,M M McNiff,UR,N/A,5,11-9,98,True,121,34
Clonmel Racing Results | 7th June 2024 19:20,N/A,19:20,Good (Good To Firm In Places) ap Chase (Turf),2m 4f,Francois (FR),Mr B Dunleavy,7,Mary Ellen Doyle,12th,2 3/4 l,9,11-13p,102,True,121,34
Clonmel Racing Results | 7th June 2024 19:20,N/A,19:20,Good (Good To Firm In Places) ap Chase (Turf),2m 4f,Presenting Point (IRE),Mr J Aherne,7,A O'Grady,11th,1 1/4 l,10,11-5p,94,True,121,34
Clonmel Racing Results | 7th June 2024 19:20,N/A,19:20,Good (Good To Firm In Places) ap Chase (Turf),2m 4f,Silver King (IRE),Mr J C Barry,3,O McKiernan,10th,Short Head,8,12-4ht,107,True,121,34
Clonmel Racing Results | 7th June 2024 19:20,N/A,19:20,Good (Good To Firm In Places) ap Chase (Turf),2m 4f,Carrolls Cottage (IRE),Mr E P O'Brien,5,P Fenton,9th,2 1/2 l,8,11-8tb,97,True,121,34
Clonmel Racing Results | 7th June 2024 19:20,N/A,19:20,Good (Good To Firm In Places) ap Chase (Turf),2m 4f,Added Bonus (IRE),Mr H C Swan,3,Brendan Walsh,8th,7 l,10,10-11tp,86,True,121,34
Clonmel Racing Results | 7th June 2024 19:20,N/A,19:20,Good (Good To Firm In Places) ap Chase (Turf),2m 4f,Cosmic Blizzard (IRE),Mr P A King,5,S Curling,7th,6 l,5,12-3p1,106,True,121,34
Clonmel Racing Results | 7th June 2024 19:20,N/A,19:20,Good (Good To Firm In Places) ap Chase (Turf),2m 4f,Coastguard Lady (IRE),Mr T Power Roche,7,P J Rothwell,NR,11 l,6,10-9tp,84,True,121,34
Clonmel Racing Results | 7th June 2024 19:20,N/A,19:20,Good (Good To Firm In Places) ap Chase (Turf),2m 4f,Chainofconsequence (IRE),Mr A P Ryan,7,M J McDonagh,5th,1 1/4 l,7,11-3b,92,True,121,34
Clonmel Racing Results | 7th June 2024 19:20,N/A,19:20,Good (Good To Firm In Places) ap Chase (Turf),2m 4f,Lilian Bland (IRE),Mr M J Sweeney,7,N P Hennessy,4th,6 l,8,11-10h,99,True,121,34
Clonmel Racing Results | 7th June 2024 19:20,N/A,19:20,Good (Good To Firm In Places) ap Chase (Turf),2m 4f,Not May (IRE),Mr E Finegan,7,H P Finegan,3rd,1 1/2 l,10,10-11tp,86,True,121,34
Clonmel Racing Results | 7th June 2024 19:20,N/A,19:20,Good (Good To Firm In Places) ap Chase (Turf),2m 4f,Kadys Dirha (IRE),Mr A Burke-Ott,7,T P O'Connor,2nd,2 1/2 l,7,10-7b,82,True,121,34
Clonmel Racing Results | 7th June 2024 19:20,N/A,19:20,Good (Good To Firm In Places) ap Chase (Turf),2m 4f,Barbaha Queen (IRE),Mr D Doyle,7,J P Ryan,1st,N/A,8,10-7,82,True,121,34
Clonmel Racing Results | 7th June 2024 19:20,N/A,19:20,Good (Good To Firm In Places) ap Chase (Turf),2m 4f,Blenheim Belle (IRE),Mr Alan O'Sullivan,7,M M McNiff,UR,N/A,5,11-9,98,True,121,34
Clonmel Racing Results | 7th June 2024 19:20,N/A,19:20,Good (Good To Firm In Places) ap Chase (Turf),2m 4f,Francois (FR),Mr B Dunleavy,7,Mary Ellen Doyle,12th,2 3/4 l,9,11-13p,102,True,121,34
Clonmel Racing Results | 7th June 2024 19:20,N/A,19:20,Good (Good To Firm In Places) ap Chase (Turf),2m 4f,Presenting Point (IRE),Mr J Aherne,7,A O'Grady,11th,1 1/4 l,10,11-5p,94,True,121,34
Clonmel Racing Results | 7th June 2024 19:20,N/A,19:20,Good (Good To Firm In Places) ap Chase (Turf),2m 4f,Silver King (IRE),Mr J C Barry,3,O McKiernan,10th,Short Head,8,12-4ht,107,True,121,34
Clonmel Racing Results | 7th June 2024 19:20,N/A,19:20,Good (Good To Firm In Places) ap Chase (Turf),2m 4f,Carrolls Cottage (IRE),Mr E P O'Brien,5,P Fenton,9th,2 1/2 l,8,11-8tb,97,True,121,34
Clonmel Racing Results | 7th June 2024 19:20,N/A,19:20,Good (Good To Firm In Places) ap Chase (Turf),2m 4f,Added Bonus (IRE),Mr H C Swan,3,Brendan Walsh,8th,7 l,10,10-11tp,86,True,121,34
Clonmel Racing Results | 7th June 2024 19:20,N/A,19:20,Good (Good To Firm In Places) ap Chase (Turf),2m 4f,Cosmic Blizzard (IRE),Mr P A King,5,S Curling,7th,6 l,5,12-3p1,106,True,121,34
Clonmel Racing Results | 7th June 2024 19:20,N/A,19:20,Good (Good To Firm In Places) ap Chase (Turf),2m 4f,Coastguard Lady (IRE),Mr T Power Roche,7,P J Rothwell,NR,11 l,6,10-9tp,84,True,121,34
Clonmel Racing Results | 7th June 2024 19:20,N/A,19:20,Good (Good To Firm In Places) ap Chase (Turf),2m 4f,Chainofconsequence (IRE),Mr A P Ryan,7,M J McDonagh,5th,1 1/4 l,7,11-3b,92,True,121,34
Clonmel Racing Results | 7th June 2024 19:20,N/A,19:20,Good (Good To Firm In Places) ap Chase (Turf),2m 4f,Lilian Bland (IRE),Mr M J Sweeney,7,N P Hennessy,4th,6 l,8,11-10h,99,True,121,34
Clonmel Racing Results | 7th June 2024 19:20,N/A,19:20,Good (Good To Firm In Places) ap Chase (Turf),2m 4f,Not May (IRE),Mr E Finegan,7,H P Finegan,3rd,1 1/2 l,10,10-11tp,86,True,121,34
Clonmel Racing Results | 7th June 2024 19:20,N/A,19:20,Good (Good To Firm In Places) ap Chase (Turf),2m 4f,Kadys Dirha (IRE),Mr A Burke-Ott,7,T P O'Connor,2nd,2 1/2 l,7,10-7b,82,True,121,34
Clonmel Racing Results | 7th June 2024 19:20,N/A,19:20,Good (Good To Firm In Places) ap Chase (Turf),2m 4f,Barbaha Queen (IRE),Mr D Doyle,7,J P Ryan,1st,N/A,8,10-7,82,True,121,34
Clonmel Racing Results | 7th June 2024 19:55,N/A,19:55,Good (Good To Firm In Places),2m 6f 169y,Solly Attwell (IRE),E Walsh,0,C Collins,NR,N/A,6,11-12,-,True,121,35
Clonmel Racing Results | 7th June 2024 19:55,N/A,19:55,Good (Good To Firm In Places),2m 6f 169y,Andys Flame,S O'Callaghan,5,J C McConnell,NR,N/A,7,11-12t,-,True,121,35
Clonmel Racing Results | 7th June 2024 19:55,N/A,19:55,Good (Good To Firm In Places),2m 6f 169y,Sam Magee (IRE),M P O'Connor,3,H De Bromhead,NR,N/A,7,11-12t,-,True,121,35
Clonmel Racing Results | 7th June 2024 19:55,N/A,19:55,Good (Good To Firm In Places),2m 6f 169y,Noble Talent (IRE),R P Geoghegan,7,T J Nagle-Jr,NR,N/A,7,11-12,-,True,121,35
Clonmel Racing Results | 7th June 2024 19:55,N/A,19:55,Good (Good To Firm In Places),2m 6f 169y,Givehimthehonour (IRE),C Stone-Walsh,5,P Nolan,PU,N/A,6,11-12,-,True,121,35
Clonmel Racing Results | 7th June 2024 19:55,N/A,19:55,Good (Good To Firm In Places),2m 6f 169y,Fathom Two (IRE),S Fitzgerald,0,G P Cromwell,PU,N/A,7,11-12,-,True,121,35
Clonmel Racing Results | 7th June 2024 19:55,N/A,19:55,Good (Good To Firm In Places),2m 6f 169y,Cozone,J Smith,7,M J Smith,PU,N/A,7,11-12,-,True,121,35
Clonmel Racing Results | 7th June 2024 19:55,N/A,19:55,Good (Good To Firm In Places),2m 6f 169y,Thunder (IRE),G Brouder,5,J P Ryan,F,N/A,6,11-12,-,True,121,35
Clonmel Racing Results | 7th June 2024 19:55,N/A,19:55,Good (Good To Firm In Places),2m 6f 169y,Heyjoe De Kerser (FR),R Deegan,0,P Nolan,6th,38 l,7,11-12p,-,True,121,35
Clonmel Racing Results | 7th June 2024 19:55,N/A,19:55,Good (Good To Firm In Places),2m 6f 169y,Kudasheva (IRE),M P O'Connor,3,H De Bromhead,5th,9 l,6,11-5t,-,True,121,35
Clonmel Racing Results | 7th June 2024 19:55,N/A,19:55,Good (Good To Firm In Places),2m 6f 169y,Caesar Rock (IRE),R A Doyle,0,M F Morris,4th,Nose,8,11-12p,-,True,121,35
Clonmel Racing Results | 7th June 2024 19:55,N/A,19:55,Good (Good To Firm In Places),2m 6f 169y,Ossifer Hops (IRE),C P Millar,7,G Elliott,3rd,8 1/2 l,6,11-12p,-,True,121,35
Clonmel Racing Results | 7th June 2024 19:55,N/A,19:55,Good (Good To Firm In Places),2m 6f 169y,Clifftop,K E Buckley,0,H Rogers,2nd,8 l,8,11-12,-,True,121,35
Clonmel Racing Results | 7th June 2024 19:55,N/A,19:55,Good (Good To Firm In Places),2m 6f 169y,Sea Aster (IRE),J Coen,5,G Elliott,1st,N/A,6,11-5p,-,True,121,35
Clonmel Racing Results | 7th June 2024 19:55,N/A,19:55,Good (Good To Firm In Places),2m 6f 169y,Solly Attwell (IRE),E Walsh,0,C Collins,NR,N/A,6,11-12,-,True,121,35
Clonmel Racing Results | 7th June 2024 19:55,N/A,19:55,Good (Good To Firm In Places),2m 6f 169y,Andys Flame,S O'Callaghan,5,J C McConnell,NR,N/A,7,11-12t,-,True,121,35
Clonmel Racing Results | 7th June 2024 19:55,N/A,19:55,Good (Good To Firm In Places),2m 6f 169y,Sam Magee (IRE),M P O'Connor,3,H De Bromhead,NR,N/A,7,11-12t,-,True,121,35
